title,titleUrl,time,channel_name,channel_id,video_id,video_tag
Watched Deep dive into TensorFlow Ranking for recommendations,https://www.youtube.com/watch?v=8CPI5_Ivmj4,2024-03-17T20:44:01.489Z,TensorFlow,UC0rqucBdTuFTjJiefW5t-IQ,8CPI5_Ivmj4,"['pr_pr: Core ML/TensorFlow', 'Campaign: ;', 'ct: ;', 'type: ;', 'gds:Please Select']"
Watched AKHIRNYA GAME YG KITA TUNGGU TUNGGU,https://www.youtube.com/watch?v=p-YwiKwczm4,2024-03-13T15:23:30.459Z,NapLive,UChXsCcj64gdYp8FVCFTzwiw,p-YwiKwczm4,"['napking', 'naplive', 'livestreaming', 'game', 'horror', 'naruto', 'windah basudara']"
Watched Neuro-Sama Broke During Stream And Vedal Tried To Fix Her,https://www.youtube.com/watch?v=PJ6ZtdJ8tA0,2024-03-13T15:22:12.903Z,Dense Clips,UCMHhxLTASePAiYCRmr9cLyA,PJ6ZtdJ8tA0,"['vtuber', 'neurosama', 'neuro-sama', 'twitch', 'twitch clips', 'twitchstreamer', 'virtualyoutuber', 'virtual youtuber']"
Watched Who's the friend you'd choose to rock out to this song with? 🤘 Tag them in the comments! #shorts,https://www.youtube.com/watch?v=VQtMi6IsOf0,2024-03-13T14:17:58.340Z,Sabaton,UCjQhd1APsd5NQhiVZV7GYzg,VQtMi6IsOf0,
"Watched PAGI KLENTENG, SORE GEREJA, EH DISURUH MASUK PESANTREN‼️ HABIB JAFAR TERHERAN-HERAN! - LOGIN eps 3",https://www.youtube.com/watch?v=eL7NT38yD7w,2024-03-13T14:00:25.979Z,Deddy Corbuzier,UCYk4LJI0Pr6RBDWowMm-KUw,eL7NT38yD7w,"['Login', 'Log in', 'Habib Jafar', 'Onad', 'Onadio Leonardo', 'Closethedoor', 'Logindiclosethedoor', 'Agama', 'Islam', 'Ramadhan', 'Lucu', 'Debat', 'Sahur', 'buka puasa', 'puasa', 'tarawih', 'Komedi', 'Comedy', 'Deddy Corbuzier', 'Corbuzier', 'Orang tua', 'religi', 'islam', 'kristen', 'muslim', 'Winona', 'Budha', 'tik tok', 'banyuwangi', 'gereja', 'kelenteng']"
Watched Classroom Of The Elite S3 - Episode 11 [Takarir Indonesia],https://www.youtube.com/watch?v=-jIxXlIuXO0,2024-03-13T13:34:18.233Z,Muse Indonesia,UCxxnxya_32jcKj4yN1_kD7A,-jIxXlIuXO0,"['YoukosoJitsuryokuShijouShuginoKyoushitsue', 'ClassroomoftheElite', 'AyanokoujiKiyotaka', 'HoritakaSuzune', 'StudioLerche', 'Psychological', 'Gratis', 'AnimeSubIndo', 'Muse', 'KitouAkari', 'TouyamaNao', 'Keren', 'DiRumahAja']"
Watched Every Time Team Avatar Forgot Toph Was Blind 🙃 | Avatar: The Last Airbender,https://www.youtube.com/watch?v=A9vZEUsH6Dc,2024-03-13T13:25:18.722Z,Avatar: The Last Airbender,UCN_u5w69V9wUZYG8WeJWuNg,A9vZEUsH6Dc,"['nickelodeon', 'animation', 'anime', 'avatar', 'avatar the last airbender', 'atla', 'avatar on netflix', 'netflix', 'the last airbender', 'aang', 'toph', 'team avatar', 'avatar studios', 'zuko', 'toph beifong', 'full episode', 'full episodes', 'live action', 'netflix avatar', 'avatar the last airbender netflix', 'netflix avatar the last airbender', 'avatar netflix', 'avatar netflix trailer', 'avatar netflix clip', 'avatar netflix live action', 'avatar netflix cast', 'daniel dae kim', 'katara', 'azula', 'Gordon Cormier', 'Ian Ousley', 'animated']"
Watched Frieren: Beyond Journey's End - Episode 26 [Takarir Indonesia],https://www.youtube.com/watch?v=C9Fctg5YvUk,2024-03-13T13:07:03.157Z,Muse Indonesia,UCxxnxya_32jcKj4yN1_kD7A,C9Fctg5YvUk,"['フリーレン', 'frieren', 'Fantasy', 'Drama', 'yoasobi', 'tanezukiatsumi', 'muse', 'toho', 'Streaming', 'DiRumahAja']"
Watched Frieren: Beyond Journey's End OST - Fern VS Frieren Clone (Orchestral Cover),https://www.youtube.com/watch?v=udacgTvsovs,2024-03-13T13:05:10.641Z,Edward Music,UCAKO1i3HojePhk1MO6NGnPw,udacgTvsovs,"['Anime', 'Anime music', 'Orchestral music', 'Edward Music', ""OST Frieren: Beyond Journey's End"", ""Frieren: Beyond Journey's End Covers"", ""Frieren: Beyond Journey's End Soundtrack"", 'Sousou no Frieren Covers', 'EdwardOrchestra', 'Sousou no Frieren', 'Sousou no Frieren OST', ""Frieren: Beyond Journey's End Episode 26"", 'Sousou no Frieren Episode 26', 'Evan Call', ""Frieren: Beyond Journey's End OST - Frieren VS Fern Cover"", 'OST - Waltz', 'Frieren VS Fern Cover', 'Serious Frieren', 'Frieren & Fern VS Frieren Clone']"
Watched 𝗧𝗼𝗸𝗼𝗽𝗲𝗱𝗶𝗮 𝘅 𝗞𝗼𝗯𝗼 𝗞𝗮𝗻𝗮𝗲𝗿𝘂 𝗘𝗱𝗶𝘁 #tokopedia #memes #edit #hololive #music,https://www.youtube.com/watch?v=87dP7vCQung,2024-03-13T13:04:30.736Z,Onlyme,UC2N3TgxTmRPzzW-l2ZkhkhQ,87dP7vCQung,
